value label	orig_label	label_short	label_short_hemi	hemisphere	tissue	major_compartment	compartment	roi_order	roi_group	label_group
103	thalamus_left	4	Thal	Thal_left	left	gm	cerebrum	thalamus	103	27	thalamus left
104	hypothalamus_left	150	Hypo	Hypo_left	left	gm	cerebrum	hypothalamus	104	27.5	hypothalamus left
105	mammilary_body_left	61	MB	MB_left	left	gm	cerebrum	hypothalamus	105	27.5	hypothalamus left
106	medial_preoptic_nucleus_left	356	MPA	MPA_left	left	gm	cerebrum	hypothalamus	106	27.5	hypothalamus left
107	fimbria_left	11	fi	fi_left	left	wm	cerebrum	wm	107	29	wm left
108	internal_capsule_left	12	ic	ic_left	left	wm	cerebrum	wm	108	29	wm left
109	cerebral_peduncle_left	14	cxp	cxp_left	left	wm	cerebrum	wm	109	29	wm left
110	fornix_left	22	f	f_left	left	wm	cerebrum	wm	110	29	wm left
111	corpus_callosum_left	68	cc	cc_left	left	wm	cerebrum	wm	111	29	wm left
112	anterior_commissure_pars_posterior_left	103	acp	acp_left	left	wm	cerebrum	wm	112	29	wm left
113	optic_tract_left	116	opt	opt_left	left	wm	cerebrum	wm	113	29	wm left
114	retroflexus_fasciculus_left	125	frf	frf_left	left	wm	cerebrum	wm	114	29	wm left
115	stria_terminalis_left	159	st	st_left	left	wm	cerebrum	wm	115	29	wm left
116	habenular_commissure_left	199	hbc	hbc_left	left	wm	cerebrum	wm	116	29	wm left
117	stria_medullaris_left	205	SM	SM_left	left	wm	cerebrum	wm	117	29	wm left
118	mammilothalamic_tract_left	212	mthal	mthal_left	left	wm	cerebrum	wm	118	29	wm left
119	anterior_commissure_pars_anterior_left	215	aca	aca_left	left	wm	cerebrum	wm	119	29	wm left
120	posterior_commissure	100	pc	pc	mid	wm	cerebrum	wm	120	29	wm mid
121	orbital_cortex_dorsolateral_right	70	ORBdl	ORBdl_right	right	gm	cerebrum	orbital cortex	121	30	orbital cortex right
122	orbital_cortex_lateral_right	79	ORBl	ORBl_right	right	gm	cerebrum	orbital cortex	122	30	orbital cortex right
123	orbital_cortex_medial_right	84	ORBm	ORBm_right	right	gm	cerebrum	orbital cortex	123	30	orbital cortex right
124	orbital_cortex_ventral_right	163	ORBv	ORBv_right	right	gm	cerebrum	orbital cortex	124	30	orbital cortex right
125	tenia_tecta_dorsal_right	71	ENTttd	ENTttd_right	right	gm	cerebrum	orbital cortex	125	30	orbital cortex right
126	tenia_tecta_ventral_right	165	TTv	TTv_right	right	gm	cerebrum	orbital cortex	126	30	orbital cortex right
127	frontal_cortex_area3_right	73	FR3	FR3_right	right	gm	cerebrum	frontal cortex	127	31	frontal cortex right
128	frontal_cortex_association_right	74	FrA	FrA_right	right	gm	cerebrum	frontal cortex	128	31	frontal cortex right
129	subependymal_zone_right	240	SZ	SZ_right	right	gm	cerebrum	frontal cortex	129	31	frontal cortex right
130	parietal_cortex_lateral_association_right	80	PtA	PtA_right	right	gm	cerebrum	parietal cortex	130	32	parietal cortex right
131	parietal_cortex_medial_association_right	86	Ptma	Ptma_right	right	gm	cerebrum	parietal cortex	131	32	parietal cortex right
132	parietal_cortex_rostral_posterior_association_right	108	Ptrpa	Ptrpa_right	right	gm	cerebrum	parietal cortex	132	32	parietal cortex right
133	temporal_cortex_association_right	136	TeA	TeA_right	right	gm	cerebrum	temporal cortex	133	33	temporal cortex right
134	cingulate_area24a_right	24	CG24a	CG24a_right	right	gm	cerebrum	cingulate cortex	134	34	cingulate cortex right
135	cingulate_area24a_prime_right	26	CG24ap	CG24ap_right	right	gm	cerebrum	cingulate cortex	135	34	cingulate cortex right
136	cingulate_area24b_right	27	CG24b	CG24b_right	right	gm	cerebrum	cingulate cortex	136	34	cingulate cortex right
137	cingulate_area24b_prime_right	28	CG24b'	CG24b'_right	right	gm	cerebrum	cingulate cortex	137	34	cingulate cortex right
138	cingulate_area25_right	29	CG25	CG25_right	right	gm	cerebrum	cingulate cortex	138	34	cingulate cortex right
139	cingulate_area29a_right	30	CG29a	CG29a_right	right	gm	cerebrum	cingulate cortex	139	34	cingulate cortex right
140	cingulate_area29b_right	35	CG29b	CG29b_right	right	gm	cerebrum	cingulate cortex	140	34	cingulate cortex right
141	cingulate_area29c_right	37	CG29c	CG29c_right	right	gm	cerebrum	cingulate cortex	141	34	cingulate cortex right
142	cingulate_area30_right	39	CG30	CG30_right	right	gm	cerebrum	cingulate cortex	142	34	cingulate cortex right
